,,,,
,,,,
,ID Pathologie ,ID Complément,ID Contre-Indications/Effets indésirables,ID Intéractions
,Anxiété,"Magnésium : Apports nutritionels pour homme : 420mg 
- pour une femme : 320 mg 
- pour les adolescents : 400mg 
soit 6mg/kg
Une baisse de Mg2+ s'accompagne d'une baisse de Ca2+
Stockage dans les dents/os","Insuffisance Rénale.Hypermagnésémie taux de Mg élévé dans le sang, cela peut entrainer une faiblesse musculaire, Hypotention artérielle, Altérationde la respiration.Hypermagnésémie sévère = un arrêt cardiaque.
Effet laxatif du Mg --> diahrée pour une prise de + de 350 mg en une prise pendant un repas.
- laxatif : chlorure de Mg,gluconate,citrate.","- Interactions : Diminution de l'absorption de certains médicaments.
- Exemples :
 - Antibiotiques (tétracyclines) : doxycycline, minocycline, tétracycline, tigécycline, omadacycline.
 - Antibiotiques (quinolones) : ciprofloxacine, lévofloxacine, moxifloxacine, norfloxacine, ofloxacine.
 - Biphosphonates : alendronate, risédronate, ibandronate, zolédronate, étidronate.
 - Antihypertenseurs (inhibiteurs calciques) : nifédipine, amlodipine, vérapamil, diltiazem, félodipine.
 - Diurétiques thiazidiques : hydrochlorothiazide, chlortalidone, indapamide, métolazone, bendrofluméthiazide.

Les suppléments de magnésium peuvent interagir ou interférer avec certains médicaments. Voici quelques exemples :

- Bisphosphonates, utilisés pour traiter l'ostéoporose, ne sont pas bien absorbés lorsqu'ils sont pris trop tôt avant ou après des compléments alimentaires ou des médicaments contenant de grandes quantités de magnésium.

- Antibiotiques : leur absorption peut être compromise s'ils sont pris trop tôt avant ou après un complément alimentaire contenant du magnésium.

- Diurétiques : selon leur type, ils peuvent augmenter ou diminuer la perte de magnésium par l'urine.

- Médicaments sur ordonnance utilisés pour soulager les symptômes du reflux acide ou traiter les ulcères peptiques peuvent entraîner de faibles niveaux de magnésium dans le sang lorsqu'ils sont pris sur une longue période.

- Des doses très élevées de compléments en zinc peuvent interférer avec la capacité du corps à absorber et à réguler le magnésium.

Sources : https://ods.od.nih.gov/factsheets/Magnesium-Consumer/#h13  , https://www.medicinescomplete.com/#/content/bnfc/_623653511_interactions  , https://www.vidal.fr/parapharmacie/complements-alimentaires/magnesium.html "
,Anxiété,"Safran : dose recommandée 30mg, dose supérieur de 1,5g par jour peut engendrer des effets indésirables.","Femme enceinte,allaitante, enfants.5g de safran = effet narcotique/Toxic dose léthal : 20g
Nausées,vomissemetns,troubles gasto-intestinaux,jaunissement de la peau,engourdissement,trouble de la coagulation (saignements du nez,lèvres,paupières,hémorragies utérine,vertiges,modification de la pression artérielle)","Précaution d'emploi, parlez-en à votre médecin si vous prenez des médicaments sur orddonnace classés Antidépresseurs."
,Anxiété,Rhodiole : dose recommandée 200mg-600mg par jour cure de 3 semaines puis pause d'une semaine pour une meilleure assimilation.,"Vertiges,sécheresse buccale et/ou production excessive de salive, la rhodiole peut stimuler le système immunitaire, elle peut donc aggraver les maladies auto-immunes = sclérose en plaque et polyarthrite rhumatoïde.Femme enceinte/allaitante.","- Interactions : Potentialisation des antidépresseurs, risque de syndrome sérotoninergique.
- Exemples : ISRS : fluoxétine, paroxétine, sertraline, citalopram, escitalopram.
IRSN : venlafaxine, duloxétine, milnacipran.
Sources : https://www.msdmanuals.com/professional/special-subjects/dietary-supplements/rhodiola#Adverse-Effects_v75592162   "
,Anxiété,"Gaba : dose recommandée 250mg à 750mg par jour 
1g pour le sommeil dose max 3g = 2 mois de cure.","Femme enceinte,allaitante
dose élévée de GABA = somnolence,fatigue,vertiges,nausées,vomissements,maux de tête,douleurs abdominables.
Troubles bipolaires,enfants de - 12ans, Insomnies agitations,anxiété,personnes épileptiques = gaba peut influencer l'activité neuronale.
Pression artérielle : fluctuation de la préssion artérielle suite à la prise du GABA.
","Antidépresseurs ISRs
Sédatifs 
hypnotiques
Antipsychotiques
Anxiolytiques : Benzodiazépines augmente le risque de somnolence.
Antihypertenseur : risque d'hypotension.
Alcool : augmente l'effet inhibiteur du GABA = risque accrue de somnolence.
"
,Anxiété,"Ashwagandha (ginseng indien) dose recommandée 500mg à 1g par jour , cure de 3 semaines.","Grossesse et allaitement, diahrée, céphalés,sédation,nausées,problèmes hépatiques, peut augmenter le niveau de testostérone.","Modéré
Soyez prudent avec cette combinaison.

- Médicaments pour le diabète (antidiabétiques)
L'ashwagandha pourrait abaisser la glycémie. Prendre de l'ashwagandha avec des médicaments antidiabétiques pourrait faire chuter la glycémie à un niveau trop bas. Surveillez attentivement votre glycémie.

- Médicaments pour l’hypertension (antihypertenseurs)
L'ashwagandha pourrait abaisser la pression artérielle. Prendre de l'ashwagandha avec des antihypertenseurs pourrait entraîner une baisse excessive de la pression artérielle. Surveillez attentivement votre tension artérielle.

- Médicaments pouvant nuire au foie (hépatotoxiques)
L'ashwagandha pourrait nuire au foie. Certains médicaments peuvent également être toxiques pour le foie. Prendre de l'ashwagandha avec ces médicaments pourrait augmenter le risque de dommages au foie.

- Médicaments immunosuppresseurs
L'ashwagandha peut stimuler l'activité du système immunitaire. Certains médicaments, utilisés notamment après une greffe, diminuent cette activité. Prendre de l'ashwagandha avec ces médicaments pourrait réduire leur efficacité.

- Médicaments sédatifs (benzodiazépines)
L'ashwagandha pourrait provoquer de la somnolence et ralentir la respiration. Certains médicaments sédatifs ont les mêmes effets. Prendre de l'ashwagandha avec ces médicaments pourrait causer des problèmes respiratoires ou une somnolence excessive.

- Médicaments sédatifs (dépresseurs du système nerveux central)
L'ashwagandha pourrait provoquer de la somnolence et ralentir la respiration. Prendre de l'ashwagandha avec ces médicaments pourrait entraîner des problèmes respiratoires ou une somnolence excessive.

- Hormones thyroïdiennes
L'ashwagandha pourrait augmenter la production naturelle d'hormones thyroïdiennes. Prendre de l'ashwagandha avec des médicaments contenant des hormones thyroïdiennes pourrait entraîner un excès d'hormones thyroïdiennes dans le corps, augmentant leurs effets et leurs effets secondaires.

Mineur
Soyez attentif avec cette combinaison.

- Médicaments modifiés par le foie (substrats du cytochrome P450 1A2 (CYP1A2))
Certains médicaments sont transformés et décomposés par le foie. L'ashwagandha pourrait modifier la vitesse de dégradation de ces médicaments, ce qui pourrait changer leurs effets et leurs effets secondaires.

- Médicaments modifiés par le foie (substrats du cytochrome P450 3A4 (CYP3A4))
Certains médicaments sont transformés et décomposés par le foie. L'ashwagandha pourrait modifier la vitesse de dégradation de ces médicaments, ce qui pourrait changer leurs effets et leurs effets secondaires.

Sources : https://medlineplus.gov/druginfo/natural/953.html#DrugInteractions , https://www.nccih.nih.gov/health/ashwagandha#:~:text=There%20is%20evidence%20that%20ashwagandha,)%2C%20and%20thyroid%20hormone%20medications.   "
,Anxiété,"Griffonia (5HTP) dose recommandée max 250mg par jour, cure de 1 à 3 mois.","Enfants,grossesse,allaitement,personne trisomique,sclérodermie,personnes épileptique,diahrée,maux de ventre,nausées,vomissements.","
Soyez prudent avec cette combinaison.

- Carbidopa 
Le 5-HTP peut affecter le SNC (système nerveux central). La carbidopa peut également affecter le SNC. Prendre du 5-HTP avec de la carbidopa peut augmenter le risque d'effets secondaires graves, notamment un discours rapide, de l'anxiété, de l'agressivité, et d'autres effets.

- Médicaments sédatifs (dépresseurs du système nerveux central)
Le 5-HTP pourrait provoquer de la somnolence et ralentir la respiration. Certains médicaments, appelés sédatifs, peuvent également entraîner de la somnolence et ralentir la respiration. Prendre du 5-HTP avec des médicaments sédatifs pourrait causer des problèmes respiratoires et/ou une somnolence excessive.

- Médicaments sérotoninergiques
Le 5-HTP pourrait augmenter un produit chimique cérébral appelé sérotonine. Certains médicaments ont également cet effet. Prendre du 5-HTP avec ces médicaments pourrait augmenter la sérotonine de manière excessive, ce qui pourrait entraîner des effets secondaires graves, notamment des problèmes cardiaques, des convulsions et des vomissements.

Sources : https://medlineplus.gov/druginfo/natural/794.html  , https://www.opss.org/article/5-htp-depression-and-other-conditions  , https://www.vidal.fr/parapharmacie/complements-alimentaires/l-5-hydroxytryptophane-5-htp.html "
,Anxiété,L-Tryptophane dose recommandée 4mg/kg par jour ,"Somnolence,femme enceinte, allaitante,troubles digestifs,dibète,vit b6 : meilleure assimilation du tryptophane, résistance à l'insuline en cas de consommation excessive de tryptophane.","Majeur
Ne prenez pas cette combinaison.

- Médicaments sédatifs (dépresseurs du système nerveux central)
Le L-tryptophane pourrait provoquer de la somnolence et ralentir la respiration. Certains médicaments, appelés sédatifs, peuvent également entraîner de la somnolence et ralentir la respiration. Prendre du L-tryptophane avec des médicaments sédatifs pourrait entraîner des problèmes respiratoires et/ou une somnolence excessive.

Modéré
Soyez prudent avec cette combinaison.

- Médicaments sérotoninergiques
Le L-tryptophane pourrait augmenter un produit chimique cérébral appelé sérotonine. Certains médicaments ont également cet effet. Prendre du L-tryptophane avec ces médicaments pourrait augmenter la sérotonine de manière excessive, ce qui pourrait entraîner des effets secondaires graves, notamment des problèmes cardiaques, des convulsions et des vomissements.

Sources : https://medlineplus.gov/druginfo/natural/326.html#FoodInteractions  , https://www.healthlinkbc.ca/medications/tryptophan-oral  "
,Anxiété,"Ginseng (Panax Ginseng) dose recommandée 0,2-0,5 g par jour cure de 3 mois max sinon apparition effets indésirables.","Nervosité,Insomnies,irritabilité,palpitations,diahrée,augmentation de la pression artérielle,Le ginseng a des effets comparables à ceux des œstrogènes ; il ne doit donc pas être pris pendant la grossesse ou pendant l’allaitement ni être administré aux enfants.

","Modéré
Soyez prudent avec cette combinaison.

- Caféine
La caféine stimule le système nerveux, tout comme le Panax ginseng. Les prendre ensemble pourrait augmenter les effets secondaires, tels qu'une augmentation du rythme cardiaque et de la pression artérielle. Évitez de prendre de la caféine avec du Panax ginseng.

- Œstrogènes
Le Panax ginseng pourrait avoir des effets similaires à ceux des œstrogènes. Le combiner avec des pilules d’œstrogènes pourrait diminuer les effets de ces dernières.

- Furosémide (Lasix)
Le Panax ginseng pourrait réduire l'efficacité du furosémide. Cependant, les informations disponibles sont insuffisantes pour confirmer si cela est préoccupant.

- Imatinib (Gleevec)
Le Panax ginseng pourrait ralentir la dégradation de l'imatinib par le foie, augmentant ainsi ses effets et ses effets secondaires.

- Insuline
Le Panax ginseng pourrait réduire la glycémie. Combiné à l'insuline, cela pourrait entraîner une glycémie trop basse. Surveillez attentivement votre glycémie et ajustez la dose d'insuline si nécessaire.

- Médicaments modifiés par le foie (substrats du cytochrome P450 2D6 et CYP3A4)
Le Panax ginseng pourrait modifier la vitesse à laquelle le foie dégrade ces médicaments, changeant leurs effets et leurs effets secondaires.

- Médicaments pour la dépression (IMAO)
Le Panax ginseng, combiné aux IMAO, pourrait augmenter le risque d'effets secondaires comme l'anxiété, les maux de tête, l'agitation et l'insomnie. Exemples : phénelzine (Nardil), sélégiline (Zelapar), tranylcypromine (Parnate).

- Médicaments pour le diabète (antidiabétiques)
Le Panax ginseng pourrait réduire la glycémie. Combiné à des antidiabétiques, cela pourrait entraîner une hypoglycémie excessive. Surveillez attentivement votre glycémie.

- Médicaments provoquant des troubles du rythme cardiaque (prolongation de l’intervalle QT)
Le Panax ginseng pourrait affecter les courants électriques du cœur, augmentant le risque de troubles du rythme cardiaque lorsqu'il est combiné à ces médicaments.

- Médicaments immunosuppresseurs
Le Panax ginseng peut stimuler le système immunitaire, ce qui pourrait réduire l'efficacité des médicaments immunosuppresseurs.

- Médicaments ralentissant la coagulation sanguine (anticoagulants/antiagrégants plaquettaires)
Le Panax ginseng pourrait ralentir la coagulation. Combiné à ces médicaments, cela pourrait augmenter le risque de saignements.

- Midazolam (Versed)
Le Panax ginseng pourrait accélérer la dégradation du midazolam, diminuant ainsi ses effets.

- Nifédipine (Procardia)
Le Panax ginseng pourrait augmenter la quantité de nifédipine dans le corps, intensifiant ainsi ses effets et ses effets secondaires.

- Raltegravir (Isentress)
Le Panax ginseng pourrait augmenter le risque de toxicité hépatique associé au raltegravir.

- Sélégiline (Eldepryl)
Le Panax ginseng pourrait augmenter ou réduire l'absorption de la sélégiline, modifiant ainsi ses effets et ses effets secondaires.

- Médicaments stimulants
Le Panax ginseng pourrait intensifier les effets des stimulants, augmentant le risque d'effets secondaires graves, comme une augmentation du rythme cardiaque et de la pression artérielle.

- Warfarine (Coumadine)
Le Panax ginseng pourrait réduire les effets anticoagulants de la warfarine. Faites contrôler régulièrement votre sang, et ajustez la dose si nécessaire.

Mineur
Soyez attentif avec cette combinaison.

- Fexofénadine (Allegra)
Le Panax ginseng pourrait réduire la quantité de fexofénadine dans le corps. Cependant, cette interaction n'est pas bien étudiée.

- Lopinavir/Ritonavir (Kaletra)
Le Panax ginseng pourrait affecter la vitesse de dégradation de certains médicaments, mais il semble ne pas affecter le lopinavir/ritonavir chez les humains.

- Médicaments modifiés par le foie (substrats du cytochrome P450 1A1)
Le Panax ginseng pourrait modifier la vitesse à laquelle le foie dégrade ces médicaments, changeant leurs effets et leurs effets secondaires.

Sources : https://medlineplus.gov/druginfo/natural/1000.html , https://pmc.ncbi.nlm.nih.gov/articles/PMC3291795/ , https://www.sciencedirect.com/science/article/pii/S1226845324000356#sec7 , https://pubmed.ncbi.nlm.nih.gov/12020172/ ,"
,Anxiété,Eleuthérocoque 250mg-500mg par jour cure de 3 mois max," Hypertension artérielle, d’insomnie, de troubles nerveux, de diabète, d’obésité ou de maladies cardiaques.L’éleuthérocoque pourrait avoir une action proche de celles des estrogènes (hormones féminines) ; les femmes atteintes d’un cancer ou autre maladie du sein, ou de toute affection sensible aux estrogènes, doivent s’abstenir d’en consommer.Grossese,allaitement,enfants.

","Modéré
Soyez prudent avec cette combinaison.

- Digoxine (Lanoxin)
Il existe une inquiétude que l'éleuthéro augmente les niveaux de digoxine dans le corps, ce qui pourrait amplifier ses effets et ses effets secondaires. Si vous prenez de la digoxine, consultez un professionnel de santé avant d'utiliser l'éleuthéro.

- Médicaments modifiés par le foie (substrats du cytochrome P450 1A2 et 2C9)
Certains médicaments sont transformés et dégradés par le foie. L'éleuthéro pourrait modifier la vitesse à laquelle le foie décompose ces médicaments, ce qui pourrait changer leurs effets et leurs effets secondaires.

- Médicaments pour le diabète (antidiabétiques)
L'éleuthéro pourrait abaisser la glycémie. Pris avec des médicaments antidiabétiques, il pourrait entraîner une baisse excessive de la glycémie. Surveillez attentivement votre glycémie.

- Médicaments transportés par des pompes cellulaires (substrats des polypeptides transportant les anions organiques)
L'éleuthéro pourrait modifier le fonctionnement de ces pompes, affectant ainsi la quantité de médicament qui reste dans le corps. Cela pourrait changer les effets et les effets secondaires de certains médicaments.

- Médicaments transportés par des pompes cellulaires (substrats de la P-glycoprotéine)
L'éleuthéro pourrait modifier le fonctionnement de ces pompes, changeant la quantité de médicament dans le corps. Cela pourrait altérer leurs effets et leurs effets secondaires.

- Médicaments immunosuppresseurs
L'éleuthéro peut stimuler le système immunitaire. Cela pourrait réduire l'efficacité des médicaments qui suppriment l'activité du système immunitaire, tels que ceux utilisés après une greffe.

- Médicaments qui ralentissent la coagulation du sang (anticoagulants/antiagrégants plaquettaires)
L'éleuthéro pourrait ralentir la coagulation. Pris avec ces médicaments, il pourrait augmenter le risque de saignements et d'ecchymoses.

Mineur
Soyez attentif avec cette combinaison.

- Médicaments modifiés par le foie (substrats du cytochrome P450 2D6 et 3A4)
L'éleuthéro pourrait modifier la vitesse à laquelle le foie dégrade ces médicaments, ce qui pourrait altérer leurs effets et leurs effets secondaires.

Sources : https://medlineplus.gov/druginfo/natural/985.html , https://pubmed.ncbi.nlm.nih.gov/12695337/ "
,Anxiété,Passiflore 500mg-2g par jour cure de 3 semaines max,"Des nausées et des vomissements ;
Des troubles digestifs ;
Des réactions allergiques ;
Une baisse de la vigilance liée directement à ses propriétés sédatives.
ne pas prendre de la passiflore en cas d'atteinte hépatique,grossese (risque de contraction utérine,prouvée chez la souris)ou allaitement,enfants.","- Sédatifs (médicaments qui provoquent de la somnolence)
En raison de son effet calmant, la passiflore peut renforcer les effets des médicaments sédatifs. Ces médicaments incluent :

- Anticonvulsivants, tels que la phénytoïne (Dilantin).
- Barbituriques.
- Benzodiazépines, telles que l'alprazolam (Xanax) et le diazépam (Valium).
- Médicaments contre l'insomnie, tels que le zolpidem (Ambien), le zaleplon (Sonata), l'eszopiclone (Lunesta), et le rameltéon (Rozerem).
- Antidépresseurs tricycliques, tels que l'amitriptyline (Elavil), l'amoxapine, la doxépine (Sinequan) et la nortriptyline (Pamelor).
- Antiagrégants plaquettaires et anticoagulants (fluidifiants sanguins)

La passiflore peut prolonger le temps nécessaire à la coagulation du sang, ce qui pourrait renforcer les effets des médicaments fluidifiants et augmenter le risque de saignement. Les médicaments fluidifiants incluent :

- Le clopidogrel (Plavix).
La warfarine (Coumadin).
L'aspirine.

- Inhibiteurs de la monoamine oxydase (IMAO)
Les IMAO sont une ancienne classe d'antidépresseurs qui sont rarement prescrits aujourd'hui. Théoriquement, la passiflore pourrait renforcer les effets des IMAO, ainsi que leurs effets secondaires, qui peuvent être dangereux. Ces médicaments incluent :

- L'isocarboxazide (Marplan).
La phénelzine (Nardil).
La tranylcypromine (Parnate).

Sources : https://www.nccih.nih.gov/health/passionflower , https://www.vidal.fr/parapharmacie/phytotherapie-plantes/passiflore-passiflora-incarnata.html  , https://pubmed.ncbi.nlm.nih.gov/19441067/   "
