,,,,
,,,,
,Pathologie,Complément Alimentaire<br>Dose Recommandée<br>Durée du Traitement,Effets Indésirables / Contre-Indications,Interactions Médicamenteuses
,SPM / Règles douloureuses,"Onagre
Dose : 1 à 3 g/jour d'huile
Durée : 3 à 6 mois","- Effets indésirables : Maux de tête, troubles digestifs, nausées.
- Contre-indications : Épilepsie, troubles de la coagulation, grossesse, allaitement.","- Anticonvulsants
Il peut y avoir un risque accru de convulsions chez les patients schizophrènes, les patients épileptiques du lobe temporal et d'autres personnes prenant des médicaments épileptogènes tels que les phénothiazines. Les patients ayant des antécédents de ces maladies doivent utiliser les produits à base d'Oenothera (huile d'onagre) avec prudence (Barnes et al., 2007).

-Anticoagulants
Les patients prenant des médicaments antiplaquettaires ou anticoagulants doivent utiliser l'Oenothera avec prudence ou éviter complètement son usage. La consommation d'Oenothera diminue la formation de thromboxane et augmente la formation de PGE1, ce qui entraîne une inhibition de l'agrégation plaquettaire et un risque accru de saignement (Halat & Dennehy, 2003)..
Exemples : Warfarine, Acénocoumarol, Clopidogrel, Aspirine, Ticlopidine.

Sources : https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-oenothera-biennis-l-oenothera-lamarckiana-l-oleum-revision-1_en.pdf"
,SPM / Règles douloureuses,"Bourrache
Dose : 1 à 3 g/jour d'huile
Durée : 3 à 6 mois","- Effets indésirables : Troubles digestifs, nausées, diarrhées.
- Contre-indications : Troubles hépatiques, grossesse, allaitement.","- Médicaments pouvant causer une toxicité hépatique (par exemple, stéroïdes anabolisants, kétoconazole) : La bourrache contient de petites quantités de composés également connus pour être toxiques pour le foie.
- A nticoagulants (par exemple, warfarine) : La bourrache peut augmenter le risque de saignement ou renforcer les effets de ces médicaments.

- Anti-inflammatoires non stéroïdiens (AINS) (par exemple, aspirine, Advil™ ou inhibiteurs de la COX-2) : Théoriquement, les AINS peuvent réduire les effets de l'huile de bourrache.

Sources : https://www.mskcc.org/cancer-care/integrative-medicine/herbs/borage"
,SPM / Règles douloureuses,"N-acétyl-L-cystéine (NAC)
Dose : 600 à 1 200 mg/jour
Durée : Selon prescription médicale","- Effets indésirables : Troubles gastro-intestinaux, nausées, vomissements, diarrhées.
- Contre-indications : Ulcère gastroduodénal actif, asthme non contrôlé.","- Traitements sous chimiothérapie soyez vigilant, parlez-en à votre médecin
- Traitements antiépileptiques soyez vigilants, parlez-en à votre médecin
- Interactions Majeures
Ne pas associer cette combinaison.

Nitroglycérine
La nitroglycérine peut dilater les vaisseaux sanguins et augmenter le flux sanguin. Prendre de la N-acétylcystéine semble renforcer les effets de la nitroglycérine. Cela pourrait augmenter le risque d’effets secondaires tels que maux de tête, étourdissements et sensations de vertige.
Interactions Modérées
Soyez prudent avec cette combinaison.

Charbon activé
Le charbon activé est parfois utilisé pour prévenir l’intoxication chez les personnes ayant pris une dose excessive de paracétamol (Tylenol) ou d'autres médicaments. Prendre de la N-acétylcystéine en même temps que du charbon activé pourrait diminuer son efficacité pour prévenir l’intoxication.

Chloroquine (Aralen)
La chloroquine est un médicament utilisé pour traiter le paludisme. La N-acétylcystéine pourrait réduire les effets de la chloroquine contre le paludisme.

Médicaments contre l’hypertension (Antihypertenseurs)
La N-acétylcystéine pourrait abaisser la pression artérielle. La prendre en même temps que des médicaments qui réduisent la pression artérielle pourrait entraîner une baisse excessive de celle-ci. Une surveillance étroite de la pression artérielle est recommandée.

Médicaments qui ralentissent la coagulation sanguine (Anticoagulants / Antiagrégants plaquettaires)
La N-acétylcystéine pourrait ralentir la coagulation sanguine. La prendre en association avec des médicaments qui ont le même effet pourrait augmenter le risque de bleus et de saignements.
Sources : https://aacrjournals.org/cancerpreventionresearch/article/10/1/36/99915/A-Phase-II-Randomized-Placebo-Controlled-Trial-of , https://pmc.ncbi.nlm.nih.gov/articles/PMC4359931/    ,https://ichgcp.net/fr/clinical-trials-registry/NCT02054949 , https://www.tandfonline.com/doi/abs/10.1517/14656560802568230 
https://medlineplus.gov/druginfo/natural/1018.html 

"
,SPM / Règles douloureuses,"Alchémille des prés
Dose : 2 à 4 g de plante sèche en infusion, 2 à 3 fois/jour
Durée : 4 à 6 semaines","- Effets indésirables : Troubles digestifs, réactions allergiques cutanées.
- Contre-indications : Grossesse, allaitement, hypersensibilité connue à la plante.","- Aucune interaction médicamenteuse significative rapportée.
"
,SPM / Règles douloureuses,"Gattilier
Dose : 20 à 40 mg/jour d'extrait sec
Durée : 3 à 6 mois","- Effets indésirables : Maux de tête, troubles gastro-intestinaux, éruptions cutanées.
- Contre-indications : Grossesse, allaitement, cancers hormonodépendants.","-  Pillule contraceptive
- Médicaments pour traiter Parkinson 
- Antipsychotiques : Diminution de l'efficacité des antipsychotiques.
Exemples : Halopéridol, Rispéridone, Olanzapine, Quétiapine, Aripiprazole.
Sources : https://www.nccih.nih.gov/health/chasteberry"
,SPM / Règles douloureuses,"Actée à grappes
Dose : 40 à 80 mg/jour d'extrait sec
Durée : 3 à 6 mois","- Effets indésirables : Troubles gastro-intestinaux, maux de tête, étourdissements.
- Contre-indications : Maladies hépatiques, grossesse, allaitement.","- Estrogènes : Potentialisation des effets des estrogènes.
Exemples : Estradiol, Estropipate, Conjugués estrogéniques, Tibolone, Raloxifène.
Sources : https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf , https://files.nccih.nih.gov/s3fs-public/news/blackcohosh_mtngsumm.pdf"
,SPM / Règles douloureuses,"Achillée Millefeuille
Dose : 2 à 4 g de plante sèche en infusion, 2 à 3 fois/jour
Durée : 4 à 6 semaines","- Effets indésirables : Réactions allergiques cutanées, photosensibilité, troubles digestifs.
- Contre-indications : Allergie aux Astéracées, grossesse, allaitement.",- Aucune interaction médicamenteuse significative rapportée.
,SPM / Règles douloureuses,"Mélisse
Dose : 1,5 à 4,5 g de feuille sèche en infusion, 2 à 3 fois/jour
Durée : 2 à 4 semaines","- Effets indésirables : Somnolence, nausées, douleurs abdominales.
- Contre-indications : Hypothyroïdie, grossesse.","- Du fait de son action sédative (calmante), la mélisse peut augmenter les effets de nombreux médicaments : somnifères, antidépresseurs, neuroleptiques antipsychotiques, antitussifs et médicaments contre la douleur contenant un dérivé de l’opium (codéine, morphine), etc. Toute personne qui prend un médicament du psychisme doit discuter avec son médecin de la prise éventuelle de mélisse. Pour les mêmes raisons, il est préférable d’éviter de consommer simultanément des boissons alcoolisées.

En raison de sa teneur en tanins, la mélisse ne doit pas être prise avec les médicaments ou les compléments alimentaires destinés à apporter du fer, car elle est susceptible de diminuer l’absorption du fer par l’intestin.

Sources : https://www.vidal.fr/parapharmacie/phytotherapie-plantes/melisse-melissa-officinalis.html"
,SPM / Règles douloureuses,"Grande Camomille
Dose : 100 à 200 mg/jour d'extrait sec
Durée : 1 à 3 mois","- Effets indésirables : Réactions allergiques, troubles digestifs.
- Contre-indications : Allergie aux Astéracées, grossesse, allaitement.","- Anticoagulants : Risque accru de saignement.
Exemples : Warfarine, Acénocoumarol, Dabigatran, Rivaroxaban, Apixaban.
- AINS :  les médicaments utilisés pour traiter les migraines ainsi que les anti-inflammatoires non stéroïdiens (AINS). Elle peut réduire la tendance à la coagulation normale des plaquettes (particules sanguines qui aident à stopper les saignements).
Sources : https://www.nccih.nih.gov/health/feverfew , https://www.msdmanuals.com/fr/accueil/sujets-particuliers/compl%C3%A9ments-alimentaires-et-vitamines/grande-camomille-chrysanth%C3%A8me-matricaire?query=Tanacetum%20parthenium#Effets-secondaires_v61151385_fr"
,SPM / Règles douloureuses,"Angélique Chinoise
Dose : 1 à 3 g/jour d'extrait sec
Durée : 1 à 3 mois","- Effets indésirables : Photosensibilité, troubles digestifs, réactions allergiques.
- Contre-indications : Troubles de la coagulation, grossesse, allaitement.","- Anticoagulants : Risque accru de saignement : Interactions Majeures
Ne pas associer cette combinaison.

Warfarine (Coumadin)
La warfarine est utilisée pour ralentir la coagulation sanguine. Le dong quai pourrait également ralentir la coagulation sanguine. Prendre du dong quai avec de la warfarine pourrait augmenter le risque de bleus et de saignements. Veillez à faire vérifier régulièrement votre sang. La dose de votre warfarine pourrait nécessiter un ajustement.
Interactions Modérées
Soyez prudent avec cette combinaison.

Œstrogènes
Le dong quai pourrait agir comme l'hormone œstrogène. Lorsqu'ils sont pris ensemble, le dong quai pourrait augmenter le risque d'effets secondaires liés à l'œstrogène.

Médicaments qui ralentissent la coagulation sanguine (Anticoagulants / Antiagrégants plaquettaires)
Le dong quai pourrait ralentir la coagulation sanguine. Le prendre avec des médicaments ayant le même effet pourrait augmenter le risque de bleus et de saignements.
Sources : https://www.drugs.com/mtm/dong-quai.html#interactions  , https://medlineplus.gov/druginfo/natural/936.html "
